millis,stamp,datetime,moisture
999, 1535052933, 2018/8/23 19:35:33, 0
1999, 1535052934, 2018/8/23 19:35:34, 0
2999, 1535052935, 2018/8/23 19:35:35, 0
3998, 1535052936, 2018/8/23 19:35:36, 0
4999, 1535052937, 2018/8/23 19:35:37, 0
5999, 1535052938, 2018/8/23 19:35:38, 275
6999, 1535052939, 2018/8/23 19:35:39, 290
7999, 1535052940, 2018/8/23 19:35:40, 304
8999, 1535052941, 2018/8/23 19:35:41, 282
9999, 1535052942, 2018/8/23 19:35:42, 337
10999, 1535052943, 2018/8/23 19:35:43, 328
11999, 1535052944, 2018/8/23 19:35:44, 9
12999, 1535052945, 2018/8/23 19:35:45, 0
14000, 1535052946, 2018/8/23 19:35:46, 114
14999, 1535052947, 2018/8/23 19:35:47, 299
16000, 1535052948, 2018/8/23 19:35:48, 311
16999, 1535052949, 2018/8/23 19:35:49, 328
17998, 1535052950, 2018/8/23 19:35:50, 324
18999, 1535052951, 2018/8/23 19:35:51, 280
19999, 1535052952, 2018/8/23 19:35:52, 253
21000, 1535052953, 2018/8/23 19:35:53, 91
21999, 1535052954, 2018/8/23 19:35:54, 0
22999, 1535052955, 2018/8/23 19:35:55, 24
23999, 1535052956, 2018/8/23 19:35:56, 30
24998, 1535052957, 2018/8/23 19:35:57, 0
25998, 1535052958, 2018/8/23 19:35:58, 98
26999, 1535052959, 2018/8/23 19:35:59, 386
27999, 1535052960, 2018/8/23 19:36:0, 393
28999, 1535052961, 2018/8/23 19:36:1, 381
30000, 1535052962, 2018/8/23 19:36:2, 395
30999, 1535052963, 2018/8/23 19:36:3, 277
31998, 1535052964, 2018/8/23 19:36:4, 389
32999, 1535052965, 2018/8/23 19:36:5, 406
33999, 1535052966, 2018/8/23 19:36:6, 417
34999, 1535052967, 2018/8/23 19:36:7, 0
35998, 1535052968, 2018/8/23 19:36:8, 0
36999, 1535052969, 2018/8/23 19:36:9, 292
37999, 1535052970, 2018/8/23 19:36:10, 364
38999, 1535052971, 2018/8/23 19:36:11, 308
39998, 1535052972, 2018/8/23 19:36:12, 0
40999, 1535052973, 2018/8/23 19:36:13, 1
41999, 1535052974, 2018/8/23 19:36:14, 348
42999, 1535052975, 2018/8/23 19:36:15, 354
43999, 1535052976, 2018/8/23 19:36:16, 17
44999, 1535052977, 2018/8/23 19:36:17, 371
46000, 1535052978, 2018/8/23 19:36:18, 10
46999, 1535052979, 2018/8/23 19:36:19, 111
48000, 1535052980, 2018/8/23 19:36:20, 41
48999, 1535052981, 2018/8/23 19:36:21, 35
49999, 1535052982, 2018/8/23 19:36:22, 92
50999, 1535052983, 2018/8/23 19:36:23, 27
51999, 1535052984, 2018/8/23 19:36:24, 227
52998, 1535052985, 2018/8/23 19:36:25, 231
53999, 1535052986, 2018/8/23 19:36:26, 183
54999, 1535052987, 2018/8/23 19:36:27, 210
55999, 1535052988, 2018/8/23 19:36:28, 217
56999, 1535052989, 2018/8/23 19:36:29, 13
57999, 1535052990, 2018/8/23 19:36:30, 312
58999, 1535052991, 2018/8/23 19:36:31, 392
60000, 1535052992, 2018/8/23 19:36:32, 414
60999, 1535052993, 2018/8/23 19:36:33, 0
62000, 1535052994, 2018/8/23 19:36:34, 71
62999, 1535052995, 2018/8/23 19:36:35, 389
64000, 1535052996, 2018/8/23 19:36:36, 361
64999, 1535052997, 2018/8/23 19:36:37, 319
65999, 1535052998, 2018/8/23 19:36:38, 263
66999, 1535052999, 2018/8/23 19:36:39, 248
67999, 1535053000, 2018/8/23 19:36:40, 263
68999, 1535053001, 2018/8/23 19:36:41, 232
69999, 1535053002, 2018/8/23 19:36:42, 117
71000, 1535053003, 2018/8/23 19:36:43, 0
71999, 1535053004, 2018/8/23 19:36:44, 0
72999, 1535053005, 2018/8/23 19:36:45, 29
73999, 1535053006, 2018/8/23 19:36:46, 0
74999, 1535053007, 2018/8/23 19:36:47, 0
75999, 1535053008, 2018/8/23 19:36:48, 0
76999, 1535053009, 2018/8/23 19:36:49, 418
77999, 1535053010, 2018/8/23 19:36:50, 431
78999, 1535053011, 2018/8/23 19:36:51, 436
79998, 1535053012, 2018/8/23 19:36:52, 268
80999, 1535053013, 2018/8/23 19:36:53, 183
81999, 1535053014, 2018/8/23 19:36:54, 189
82999, 1535053015, 2018/8/23 19:36:55, 202
83999, 1535053016, 2018/8/23 19:36:56, 194
85000, 1535053017, 2018/8/23 19:36:57, 0
