Humidity: nan %, Temp: nan Celsius
Humidity: 37.30 %, Temp: 31.30 Celsius
Humidity: 30.40 %, Temp: 31.90 Celsius
Humidity: 30.70 %, Temp: 31.80 Celsius
Humidity: 35.70 %, Temp: 31.80 Celsius
Humidity: 39.70 %, Temp: 31.80 Celsius
Humidity: 37.30 %, Temp: 31.80 Celsius
Humidity: 34.50 %, Temp: 31.80 Celsius
Humidity: 32.60 %, Temp: 31.80 Celsius
Humidity: 31.30 %, Temp: 31.80 Celsius
Humidity: 30.10 %, Temp: 31.70 Celsius
Humidity: 29.50 %, Temp: 31.70 Celsius
Humidity: 29.10 %, Temp: 31.70 Celsius
Humidity: 28.70 %, Temp: 31.60 Celsius
Humidity: 28.40 %, Temp: 31.60 Celsius
Humidity: 28.10 %, Temp: 31.50 Celsius
Humidity: 28.00 %, Temp: 31.50 Celsius
Humidity: 27.90 %, Temp: 31.50 Celsius
Humidity: 27.80 %, Temp: 31.40 Celsius
Humidity: 27.70 %, Temp: 31.40 Celsius
Humidity: 27.70 %, Temp: 31.40 Celsius
Humidity: 27.60 %, Temp: 31.30 Celsius
Humidity: 27.60 %, Temp: 31.30 Celsius
Humidity: 27.50 %, Temp: 31.20 Celsius
Humidity: 27.50 %, Temp: 31.20 Celsius
Humidity: 27.50 %, Temp: 31.20 Celsius
Humidity: 27.50 %, Temp: 31.10 Celsius
Humidity: 27.50 %, Temp: 31.10 Celsius
Humidity: 27.50 %, Temp: 31.10 Celsius
Humidity: 27.50 %, Temp: 31.00 Celsius
Humidity: 27.50 %, Temp: 31.00 Celsius
Humidity: 27.50 %, Temp: 31.00 Celsius
Humidity: 27.50 %, Temp: 30.90 Celsius
Humidity: 27.50 %, Temp: 30.90 Celsius
Humidity: 27.50 %, Temp: 30.80 Celsius
Humidity: 27.60 %, Temp: 30.80 Celsius
Humidity: 27.60 %, Temp: 30.80 Celsius
Humidity: 27.60 %, Temp: 30.70 Celsius
Humidity: 27.70 %, Temp: 30.70 Celsius
Humidity: 27.70 %, Temp: 30.70 Celsius
Humidity: 27.70 %, Temp: 30.60 Celsius
Humidity: 27.70 %, Temp: 30.60 Celsius
Humidity: 27.80 %, Temp: 30.60 Celsius
Humidity: 27.80 %, Temp: 30.50 Celsius
Humidity: 27.80 %, Temp: 30.50 Celsius
Humidity: 27.90 %, Temp: 30.50 Celsius
Humidity: 27.80 %, Temp: 30.40 Celsius
Humidity: 27.90 %, Temp: 30.40 Celsius
Humidity: 27.90 %, Temp: 30.30 Celsius
Humidity: 27.90 %, Temp: 30.30 Celsius
Humidity: 28.00 %, Temp: 30.30 Celsius
Humidity: 27.90 %, Temp: 30.20 Celsius
Humidity: 27.90 %, Temp: 30.20 Celsius
Humidity: 28.00 %, Temp: 30.20 Celsius
Humidity: 28.00 %, Temp: 30.20 Celsius
Humidity: 28.00 %, Temp: 30.10 Celsius
Humidity: 28.00 %, Temp: 30.10 Celsius
Humidity: 28.10 %, Temp: 30.10 Celsius
Humidity: 28.00 %, Temp: 30.00 Celsius
Humidity: 28.00 %, Temp: 30.00 Celsius
Humidity: 28.10 %, Temp: 30.00 Celsius
Humidity: 28.20 %, Temp: 30.00 Celsius
Humidity: 28.20 %, Temp: 29.90 Celsius
Humidity: 28.20 %, Temp: 29.90 Celsius
Humidity: 28.20 %, Temp: 29.90 Celsius
Humidity: 28.30 %, Temp: 29.90 Celsius
Humidity: 28.30 %, Temp: 29.90 Celsius
Humidity: 28.30 %, Temp: 29.80 Celsius
Humidity: 28.30 %, Temp: 29.80 Celsius
Humidity: 28.30 %, Temp: 29.80 Celsius
Humidity: 28.40 %, Temp: 29.80 Celsius
Humidity: 28.40 %, Temp: 29.80 Celsius
Humidity: 28.50 %, Temp: 29.80 Celsius
Humidity: 28.60 %, Temp: 29.80 Celsius
Humidity: 28.60 %, Temp: 29.70 Celsius
Humidity: 28.60 %, Temp: 29.70 Celsius
Humidity: 28.60 %, Temp: 29.70 Celsius
Humidity: 28.60 %, Temp: 29.70 Celsius
Humidity: 28.70 %, Temp: 29.60 Celsius
Humidity: 28.70 %, Temp: 29.60 Celsius
Humidity: 28.70 %, Temp: 29.60 Celsius
Humidity: 28.80 %, Temp: 29.60 Celsius
Humidity: 28.80 %, Temp: 29.60 Celsius
Humidity: 28.80 %, Temp: 29.60 Celsius
Humidity: 28.80 %, Temp: 29.60 Celsius
Humidity: 28.80 %, Temp: 29.50 Celsius
Humidity: 28.70 %, Temp: 29.50 Celsius
Humidity: 28.80 %, Temp: 29.50 Celsius
Humidity: 28.80 %, Temp: 29.50 Celsius
Humidity: 28.80 %, Temp: 29.50 Celsius
Humidity: 28.80 %, Temp: 29.50 Celsius
Humidity: 28.80 %, Temp: 29.50 Celsius
Humidity: 28.90 %, Temp: 29.50 Celsius
Humidity: 28.90 %, Temp: 29.50 Celsius
Humidity: 28.90 %, Temp: 29.50 Celsius
Humidity: 28.80 %, Temp: 29.40 Celsius
Humidity: 28.90 %, Temp: 29.40 Celsius
Humidity: 28.90 %, Temp: 29.40 Celsius
Humidity: 29.00 %, Temp: 29.40 Celsius
Humidity: 29.00 %, Temp: 29.40 Celsius
Humidity: 29.10 %, Temp: 29.40 Celsius
Humidity: 29.30 %, Temp: 29.40 Celsius
Humidity: 29.30 %, Temp: 29.40 Celsius
Humidity: 29.20 %, Temp: 29.30 Celsius
Humidity: 29.20 %, Temp: 29.30 Celsius
Humidity: 29.20 %, Temp: 29.30 Celsius
Humidity: 29.20 %, Temp: 29.30 Celsius
Humidity: 29.20 %, Temp: 29.30 Celsius
Humidity: 29.20 %, Temp: 29.30 Celsius
Humidity: 29.20 %, Temp: 29.30 Celsius
Humidity: 29.30 %, Temp: 29.30 Celsius
Humidity: 29.30 %, Temp: 29.30 Celsius
Humidity: 29.30 %, Temp: 29.30 Celsius
Humidity: 29.30 %, Temp: 29.20 Celsius
Humidity: 29.30 %, Temp: 29.20 Celsius
Humidity: 29.30 %, Temp: 29.20 Celsius
Humidity: 29.40 %, Temp: 29.20 Celsius
Humidity: 29.40 %, Temp: 29.20 Celsius
Humidity: 29.30 %, Temp: 29.10 Celsius
Humidity: 29.40 %, Temp: 29.20 Celsius
Humidity: 29.50 %, Temp: 29.20 Celsius
Humidity: 29.30 %, Temp: 29.10 Celsius
Humidity: 29.30 %, Temp: 29.10 Celsius
Humidity: 29.40 %, Temp: 29.10 Celsius
Humidity: 29.50 %, Temp: 29.10 Celsius
Humidity: 29.50 %, Temp: 29.10 Celsius
Humidity: 29.40 %, Temp: 29.10 Celsius
Humidity: 29.40 %, Temp: 29.10 Celsius
Humidity: 29.40 %, Temp: 29.10 Celsius
Humidity: 29.40 %, Temp: 29.10 Celsius
Humidity: 29.40 %, Temp: 29.00 Celsius
Humidity: 29.50 %, Temp: 29.00 Celsius
Humidity: 29.70 %, Temp: 29.00 Celsius
Humidity: 29.70 %, Temp: 29.00 Celsius
Humidity: 29.60 %, Temp: 29.00 Celsius
Humidity: 29.60 %, Temp: 29.00 Celsius
Humidity: 29.60 %, Temp: 29.00 Celsius
Humidity: 29.50 %, Temp: 29.00 Celsius
Humidity: 29.50 %, Temp: 29.00 Celsius
Humidity: 29.50 %, Temp: 29.00 Celsius
Humidity: 29.50 %, Temp: 29.00 Celsius
Humidity: 29.60 %, Temp: 29.00 Celsius
Humidity: 29.60 %, Temp: 29.00 Celsius
Humidity: 29.70 %, Temp: 29.00 Celsius
Humidity: 29.60 %, Temp: 28.90 Celsius
Humidity: 29.70 %, Temp: 29.00 Celsius
Humidity: 29.70 %, Temp: 28.90 Celsius
Humidity: 29.70 %, Temp: 28.90 Celsius
Humidity: 29.70 %, Temp: 28.90 Celsius
Humidity: 29.70 %, Temp: 28.90 Celsius
Humidity: 29.70 %, Temp: 28.90 Celsius
Humidity: 29.80 %, Temp: 28.90 Celsius
Humidity: 29.70 %, Temp: 28.90 Celsius
Humidity: 29.80 %, Temp: 28.90 Celsius
Humidity: 29.80 %, Temp: 28.90 Celsius
Humidity: 29.80 %, Temp: 28.90 Celsius
Humidity: 29.80 %, Temp: 28.90 Celsius
Humidity: 29.80 %, Temp: 28.90 Celsius
Humidity: 29.80 %, Temp: 28.90 Celsius
Humidity: 29.70 %, Temp: 28.90 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.70 %, Temp: 28.90 Celsius
Humidity: 29.70 %, Temp: 28.80 Celsius
Humidity: 29.70 %, Temp: 28.80 Celsius
Humidity: 29.70 %, Temp: 28.80 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.50 %, Temp: 28.80 Celsius
Humidity: 29.50 %, Temp: 28.80 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.50 %, Temp: 28.80 Celsius
Humidity: 29.50 %, Temp: 28.80 Celsius
Humidity: 29.50 %, Temp: 28.80 Celsius
Humidity: 29.50 %, Temp: 28.80 Celsius
Humidity: 29.50 %, Temp: 28.80 Celsius
Humidity: 29.50 %, Temp: 28.80 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.60 %, Temp: 28.80 Celsius
Humidity: 29.50 %, Temp: 28.70 Celsius
Humidity: 29.50 %, Temp: 28.70 Celsius
Humidity: 29.50 %, Temp: 28.70 Celsius
Humidity: 29.60 %, Temp: 28.70 Celsius
Humidity: 29.50 %, Temp: 28.70 Celsius
Humidity: 29.60 %, Temp: 28.70 Celsius
Humidity: 29.60 %, Temp: 28.70 Celsius
Humidity: 29.60 %, Temp: 28.70 Celsius
Humidity: 29.60 %, Temp: 28.70 Celsius
Humidity: 29.60 %, Temp: 28.70 Celsius
Humidity: 29.50 %, Temp: 28.70 Celsius
